Date,Open,High,Low,Close,Adj Close,Volume
2018-08-30,124000.0,136000.0,123000.0,134000.0,108165.3203125,2897495
2018-09-06,136000.0,137000.0,128000.0,128500.0,103725.6796875,2379610
2018-09-13,129500.0,131000.0,125500.0,129000.0,104129.2890625,1732675
2018-09-20,131000.0,131000.0,127500.0,130500.0,105340.0859375,1231295
2018-09-27,130000.0,130500.0,122500.0,124500.0,100496.8671875,1415966
2018-10-04,126000.0,126000.0,116000.0,116000.0,93635.625,1909232
2018-10-11,115500.0,119500.0,111500.0,116000.0,93635.625,2966818
2018-10-18,114500.0,118500.0,102500.0,110000.0,88792.421875,3856676
2018-10-25,110000.0,113000.0,103500.0,108500.0,87581.609375,3413287
2018-11-01,107000.0,110500.0,103500.0,105500.0,85160.0,3491608
2018-11-08,106000.0,110000.0,99600.0,103000.0,83141.9765625,2944198
2018-11-15,104000.0,104500.0,92500.0,92800.0,74908.5,4622490
2018-11-22,92800.0,103000.0,92600.0,100000.0,80720.3828125,4071612
2018-11-29,103000.0,112500.0,102500.0,110500.0,89196.015625,5768407
2018-12-06,110000.0,121500.0,108500.0,118500.0,95653.6328125,3958364
2018-12-13,119000.0,124500.0,112500.0,121500.0,98075.265625,3550478
2018-12-20,120500.0,124000.0,117500.0,118500.0,95653.6328125,1954538
2018-12-27,118500.0,120000.0,113000.0,116500.0,96450.5,1572146
2019-01-03,116000.0,124000.0,116000.0,123000.0,101831.859375,3832740
2019-01-10,123000.0,130000.0,120500.0,129500.0,107213.21875,2477299
2019-01-17,129500.0,132000.0,124500.0,130000.0,107627.1640625,2860677
2019-01-24,127500.0,131000.0,125500.0,129500.0,107213.21875,2495621
2019-01-31,129500.0,130000.0,125500.0,126000.0,104315.5546875,922920
2019-02-07,125500.0,129000.0,119500.0,121500.0,100590.0078125,2927416
2019-02-14,121000.0,122000.0,118500.0,120000.0,99348.1484375,2798603
2019-02-21,119500.0,130000.0,119500.0,126500.0,104729.515625,3629117
2019-02-28,126500.0,129000.0,119500.0,125500.0,103901.609375,2756925
2019-03-07,125000.0,126000.0,117000.0,119000.0,98520.25,3495176
2019-03-14,119000.0,126000.0,118000.0,124500.0,103073.703125,2202860
2019-03-21,124000.0,125500.0,118000.0,119500.0,98934.203125,1949975
2019-03-28,120000.0,125000.0,117500.0,123500.0,102245.8046875,2287727
2019-04-04,124500.0,128500.0,124000.0,128000.0,105971.359375,2142905
2019-04-11,127000.0,137000.0,125000.0,134000.0,110938.78125,3322318
2019-04-18,135000.0,140000.0,132000.0,138000.0,114250.3828125,3039997
2019-04-25,138000.0,140500.0,134500.0,138500.0,114664.296875,2470901
2019-05-02,137500.0,138500.0,131000.0,131000.0,108455.0625,2211018
2019-05-09,131500.0,135000.0,125500.0,127500.0,105557.4140625,2871705
2019-05-16,127000.0,129500.0,125000.0,127500.0,105557.4140625,2875213
2019-05-23,127000.0,136500.0,126000.0,135500.0,112180.6328125,3709112
2019-05-30,134500.0,142000.0,131000.0,141000.0,116734.0703125,2771127
2019-06-06,141500.0,143500.0,137500.0,141000.0,116734.0703125,2806534
2019-06-13,140000.0,142500.0,139000.0,140500.0,116320.140625,1354647
2019-06-20,140000.0,143500.0,139500.0,140500.0,116320.140625,1456959
2019-06-27,140000.0,142500.0,134000.0,139000.0,115897.3359375,1936011
2019-07-04,139000.0,142000.0,135000.0,139000.0,115897.3359375,2750368
2019-07-11,138500.0,142000.0,132000.0,134000.0,111728.390625,2463768
2019-07-18,135500.0,135500.0,128500.0,131500.0,109643.8828125,3133024
2019-07-25,130500.0,132500.0,125000.0,125500.0,104641.109375,2137296
2019-08-01,126000.0,132500.0,123000.0,130000.0,108393.1953125,4173761
2019-08-08,131500.0,132500.0,127000.0,127500.0,106308.7109375,1820318
2019-08-15,126500.0,129500.0,124000.0,124000.0,103390.4296875,2087025
2019-08-22,123000.0,130500.0,123000.0,126500.0,105474.90625,2851901
2019-08-29,127500.0,132000.0,127000.0,128000.0,106725.6015625,2299611
2019-09-05,128000.0,129000.0,126000.0,129000.0,107559.3984375,1974344
2019-09-12,129000.0,129500.0,125500.0,129000.0,107559.3984375,2544392
2019-09-19,128500.0,136500.0,128000.0,133000.0,110894.5703125,3242544
2019-09-26,134000.0,135500.0,128000.0,128500.0,107142.5,1615057
2019-10-03,129500.0,130500.0,125500.0,126500.0,105474.90625,1910450
2019-10-10,127000.0,127500.0,120500.0,123000.0,102556.6484375,3245022
2019-10-17,123500.0,124500.0,120000.0,122000.0,101722.84375,2481203
2019-10-24,122000.0,125000.0,121500.0,122000.0,101722.84375,3187239
2019-10-31,121500.0,126000.0,121000.0,123500.0,102973.5234375,2954183
2019-11-07,124000.0,126000.0,123500.0,124500.0,103807.3203125,2373395
2019-11-14,124500.0,126000.0,123000.0,124500.0,103807.3203125,2920908
2019-11-21,124000.0,125500.0,122500.0,124000.0,103390.4296875,4642044
2019-11-28,123500.0,124500.0,117500.0,118000.0,98387.6796875,5788200
2019-12-05,118500.0,120500.0,118000.0,120000.0,100055.265625,9408723
2019-12-12,121500.0,123500.0,119000.0,123500.0,102973.5234375,6018527
2019-12-19,124000.0,125000.0,121500.0,122500.0,102139.7421875,3618000
2019-12-26,121000.0,121500.0,118000.0,118000.0,98387.6796875,1446891
2020-01-02,118500.0,119000.0,110000.0,111500.0,95301.9296875,4574292
2020-01-09,112500.0,120000.0,112000.0,118500.0,101285.0078125,4532244
2020-01-16,118500.0,131500.0,116500.0,130500.0,111541.7265625,6831585
2020-01-23,130500.0,133000.0,126500.0,127500.0,108977.5546875,4194991
2020-01-30,128500.0,133000.0,121000.0,132000.0,112823.8203125,6201601
2020-02-06,130500.0,137500.0,127500.0,133000.0,113678.53125,5026983
2020-02-13,132500.0,136000.0,129000.0,130000.0,111114.3671875,3379164
2020-02-20,128000.0,129500.0,120000.0,121000.0,103421.8203125,4175761
2020-02-27,118500.0,119000.0,112000.0,114000.0,97438.7421875,6830818
2020-03-05,113000.0,113500.0,99700.0,100000.0,85472.6015625,6243975
2020-03-12,86500.0,90200.0,65100.0,65900.0,56326.4296875,15819634
2020-03-19,67500.0,90200.0,65000.0,84900.0,72566.234375,16989262
2020-03-26,89700.0,90100.0,82100.0,86600.0,74019.28125,10022932
2020-04-02,86600.0,97900.0,85600.0,97100.0,82993.890625,11033502
2020-04-09,97400.0,101500.0,96200.0,99100.0,84703.3515625,7070462
